cuenta_id,cuenta_nombre,operacion_id,fecha_hora,tipo_operacion,activo,cantidad,precio_entrada,precio_salida,resultado,stop_loss,take_profit,ratio_rr,nivel_confianza,notas,screenshot
1,Demo Realista,1,2026-05-21T10:18:00,LONG,BTC,0.035,104800,106250,50.75,102900,108600,2.00,72,Entrada tras ruptura confirmada. Espere al cierre de la vela y mantuve el plan.,
1,Demo Realista,2,2026-05-23T16:42:00,SHORT,ETH,0.700,2640,2585,38.50,2695,2530,2.00,68,Rechazo claro en resistencia. Cerre antes del objetivo por perdida de impulso.,
1,Demo Realista,3,2026-05-26T09:35:00,LONG,SOL,6.000,172.40,168.80,-21.60,168.50,180.20,2.00,61,Entre con algo de prisa al ver volumen. Respete el stop aunque me costo aceptar la perdida.,
1,Demo Realista,4,2026-05-28T14:12:00,LONG,ETH,0.850,2718,2796,66.30,2670,2814,2.00,76,Pullback limpio a soporte. Gestion tranquila y salida parcial cerca del objetivo.,
1,Demo Realista,5,2026-05-30T11:06:00,SHORT,BTC,0.030,107900,109050,-34.50,109000,105700,2.00,64,Anticipe el giro sin suficiente confirmacion. No movi el stop y limite la perdida.,
1,Demo Realista,6,2026-06-02T15:27:00,LONG,SOL,7.000,169.20,175.10,41.30,166.40,174.80,2.00,74,Reentrada despues de recuperar soporte. Buena paciencia y ejecucion segun el plan.,
1,Demo Realista,7,2026-06-04T10:51:00,LONG,BTC,0.042,106350,108420,86.94,104900,109250,2.00,81,La tendencia y el volumen estaban alineados. Deje correr la posicion sin vigilar cada tick.,
1,Demo Realista,8,2026-06-06T18:05:00,SHORT,ETH,0.900,2825,2868,-38.70,2870,2735,2.00,59,Opere cansado al final de la sesion. La entrada fue valida pero la gestion fue demasiado defensiva.,
1,Demo Realista,9,2026-06-09T09:48:00,SHORT,SOL,8.000,178.60,174.30,34.40,181.20,173.40,2.00,70,Perdida de soporte con retesteo. Tome beneficio cuando aparecieron compras fuertes.,
1,Demo Realista,10,2026-06-11T13:33:00,LONG,ETH,0.750,2788,2854,49.50,2742,2880,2.00,77,Entrada sencilla a favor de tendencia. Riesgo pequeno y decision clara.,
1,Demo Realista,11,2026-06-13T10:22:00,LONG,BTC,0.028,109600,108380,-34.16,108450,111900,2.00,66,Compre demasiado cerca de una resistencia. El stop se ejecuto y evite aumentar la posicion.,
1,Demo Realista,12,2026-06-15T17:14:00,SHORT,SOL,9.000,181.30,176.80,40.50,184.10,175.70,2.00,73,Debilidad visible despues de un maximo fallido. Cerre de forma disciplinada antes del cierre diario.,
1,Demo Realista,13,2026-06-17T11:39:00,LONG,BTC,0.050,108750,111080,116.50,107300,113100,3.00,84,Configuracion de alta calidad con tendencia y volumen. Mantener la calma mejoro el resultado.,
1,Demo Realista,14,2026-06-19T16:08:00,LONG,ETH,1.000,2862,2815,-47.00,2818,2950,2.00,63,El mercado no confirmo la continuacion. Acepte el stop sin buscar revancha.,
1,Demo Realista,15,2026-06-21T12:46:00,SHORT,BTC,0.032,112300,110940,43.52,113650,109600,2.00,75,Rechazo en maximos con divergencia. Reduje riesgo por ser fin de semana.,
1,Demo Realista,16,2026-06-23T09:57:00,LONG,SOL,10.000,176.50,182.20,57.00,173.80,184.60,3.00,82,Espere el retesteo en lugar de perseguir el precio. Ejecucion limpia y sin impulsividad.,
1,Demo Realista,17,2026-06-24T15:19:00,SHORT,ETH,0.800,2910,2948,-30.40,2952,2826,2.00,58,La entrada iba contra una tendencia fuerte. El error fue priorizar la divergencia sobre la estructura.,
1,Demo Realista,18,2026-06-26T10:31:00,LONG,BTC,0.038,110850,112760,72.58,109500,114900,3.00,79,Recuperacion de nivel importante con buen volumen. Tome una salida parcial y protegi el resto.,
1,Demo Realista,19,2026-06-27T17:38:00,LONG,ETH,0.650,2895,2962,43.55,2850,2985,2.00,71,Operacion de menor tamano por volatilidad alta. Segui el plan sin sobreexponerme.,
1,Demo Realista,20,2026-06-29T13:11:00,SHORT,SOL,7.500,185.40,188.90,-26.25,188.70,178.80,2.00,60,Entre antes del retesteo y el precio recupero el nivel. Stop respetado y jornada terminada.,
1,Demo Realista,21,2026-07-01T09:44:00,LONG,BTC,0.045,111900,114250,105.75,110400,116400,3.00,86,Primera operacion del mes con contexto claro. Buena paciencia durante el retroceso inicial.,
1,Demo Realista,22,2026-07-02T16:26:00,SHORT,ETH,0.950,3018,2956,58.90,3070,2914,2.00,78,Rechazo de resistencia y cierre por debajo del nivel. No amplie el objetivo por codicia.,
1,Demo Realista,23,2026-07-04T11:17:00,LONG,SOL,8.000,187.20,184.10,-24.80,184.00,193.60,2.00,65,La ruptura resulto falsa. Senti frustracion pero mantuve el riesgo previsto.,
1,Demo Realista,24,2026-07-05T18:02:00,SHORT,BTC,0.025,115100,113720,34.50,116300,111500,3.00,69,Operacion rapida en zona de sobreextension. Cerre al llegar a soporte intradia.,
1,Demo Realista,25,2026-07-07T10:09:00,LONG,ETH,1.100,2975,3058,91.30,2928,3069,2.00,83,El patron tenia confirmacion en varias temporalidades. Aguante la posicion sin cerrar por miedo.,
1,Demo Realista,26,2026-07-08T14:54:00,LONG,BTC,0.030,114350,113180,-35.10,113200,116650,2.00,62,Entrada tardia despues de una subida extensa. Aprendizaje claro sobre no perseguir el movimiento.,
1,Demo Realista,27,2026-07-09T17:21:00,SHORT,SOL,11.000,190.80,185.90,53.90,193.40,183.00,3.00,80,Perdida de soporte con aumento de volumen vendedor. Buena gestion del tamano y del stop.,
1,Demo Realista,28,2026-07-10T09:52:00,SHORT,ETH,0.850,3088,3119,-26.35,3122,3020,2.00,57,Quise anticipar un techo y falto confirmacion. No realice una segunda entrada impulsiva.,
1,Demo Realista,29,2026-07-11T12:34:00,LONG,BTC,0.040,113600,115420,72.80,112250,117650,3.00,77,Rebote en soporte diario con riesgo bien definido. Salida al perder fuerza cerca de resistencia.,
1,Demo Realista,30,2026-07-12T18:18:00,LONG,SOL,9.000,186.30,191.70,48.60,183.60,194.40,3.00,76,Recuperacion del rango tras barrido de liquidez. Me senti concentrado y no improvise.,
1,Demo Realista,31,2026-07-14T10:43:00,SHORT,BTC,0.036,116250,117380,-40.68,117350,114050,2.00,67,El precio rompio el maximo antes de caer. El stop estaba bien colocado aunque la idea posterior funcionara.,
1,Demo Realista,32,2026-07-15T15:07:00,LONG,ETH,0.900,3042,3126,75.60,2998,3130,2.00,82,Entrada tras consolidacion y ruptura confirmada. Tome beneficios segun lo previsto.,
1,Demo Realista,33,2026-07-16T11:28:00,SHORT,SOL,8.500,194.20,190.10,34.85,197.10,188.40,2.00,71,Maximo fallido en resistencia semanal. Gestion correcta aunque cerre un poco pronto.,
1,Demo Realista,34,2026-07-17T16:49:00,LONG,BTC,0.033,115480,118020,83.82,114100,119620,3.00,88,Una de las mejores configuraciones del periodo. Confianza alta sin aumentar el riesgo.,
1,Demo Realista,35,2026-07-18T12:13:00,LONG,ETH,0.800,3115,3072,-34.40,3070,3205,2.00,64,La entrada coincidio con agotamiento comprador. Respete el stop y revise el error sin frustracion.,
